,ad_creative_body,count
31,"Help us hit 1 MILLION signatures!

Nothing could make the President’s birthday better than to see your signature and warm wishes on his Official Birthday Card.

Please add your name to the President’s ONLY OFFICIAL birthday card assembled by everyone at Team TRUMP.",8718
32,"PROMISES MADE, PROMISES KEPT!

President Trump has spent the past three and a half years fighting for YOU!

It's time to show the Fake News Media and Democrat Elites how STRONG the Silent Majority is.

President Trump needs you to request your ballot. This is the Election of our LIFETIME. 

A vote for President Trump is a vote to SAVE America. Request your ballot.",8564
33,"SUPPLIES RUNNING LOW!

GET your Trump-Pence 2020 Flag from the ONLY OFFICIAL Trump Campaign Store.

This item is going FAST! Order TODAY!",8496
34,"TAKE THE OFFICIAL APPROVAL POLL!

Please take the Official Trump Approval Poll before 11:59 PM TONIGHT to have your vote counted in the official results.",8279
35,"Election outcomes are controlled by people who show up. 

Your country needs you to show up. 

President Trump needs you to show up. 

Vote now.",8101
36,"BIDEN HAS SPENT THE LAST 47 YEARS BETRAYING THE AMERICAN PEOPLE

President Trump just delivered an EPIC speech and we're giving him the FINAL Presidential Donor List in his office soon and we know he'll be looking for YOUR NAME.

Please contribute ANY AMOUNT RIGHT NOW to get on the list and your gift will be 700%-MATCHED!",7714
37,"President Trump brought back college football. The Great American Comeback continues! 

The Big 10 reversed course due to President Trump's STRONG leadership. 

He is the leader we NEED to Make America Great Again. Show your support for President Trump's efforts to reopen our country.",7375
38,"You can now activate your 2020 Trump Gold Card Membership and order your Official Gold Card.

President Trump is ONLY inviting his TOP supporters, like YOU, to join this exclusive group, and we know he’s going to be very disappointed if we have to tell him you MISSED your chance to join.

Please contribute $35 or more by 11:59 PM TONIGHT to become a member, and we'll send you your very own PERSONALIZED Gold Card.",7339
39,"President Trump has a PERSONALIZED signed photo with a note just for YOU!

Claim your photo NOW!",7059
40,"President Trump LOVES getting to meet the people who are truly the heart and soul of our beautiful Nation. 

This is the FIRST opportunity he's had to meet with American Patriots, like YOU, since our country started reopening!

His team will cover the flight, hotel, and give you VIP access for yourself and a guest. 

Sign up now to enter for a chance to win!",6965
41,"CONGRATULATIONS, JUDGE AMY CONEY BARRETT!

President Trump has just announced that Judge Amy Coney Barrett is our Supreme Court nominee.

Judge Barrett is a true Constitutionalist who is committed to upholding the rule of law, and President Trump is committed to seeing her Supreme Court confirmation through.

Confirming Judge Amy Coney Barrett to the Supreme Court is critical to Making America Great Again.

Please contribute ANY AMOUNT RIGHT NOW for an 800%-MATCH and to fight for your Country.",6651
42,"President Trump was on the Debate stage defending our cherished American Democracy and America First Values. But he needs YOUR help right now to secure Four More Years of American Greatness!

Your vote is our greatest line of defense this November against Joe Biden’s Socialist scheme to DEFUND and DESTROY our country. Join President Trump in protecting our Country RIGHT NOW.

President Trump is fighting for the future of our Country. Can we count on you to stand with President Trump?",6624
43,"Don't miss this chance to have YOUR voice heard! We want to know what your think. 

Submit your response to the OFFICIAL Black Voices for Trump Weekly Approval Poll by MIDNIGHT tonight.",6439
44,"IN STOCK NOW! Supplies will NOT last. 

Proudly support President Trump with an OFFICIAL Trump-Pence 2020 Flag!",6382
45,"🚨Radical Democrats actually SUED to stop my re-election campaign’s Trump MAGA Rally. 🚨

I DON'T THINK SO. The Liberals have ALWAYS been trying to take me down, and more importantly, they've been trying to take YOU down.

I want to make a statement SO LOUD that even the Fake News media won't be able to ignore us.FOR THE NEXT HOUR I've extended 500%-MATCHING on ALL CONTRIBUTIONS made to our Trump Rally Defense Fund!",6049
46,"Election outcomes are controlled by people who show up. 

Your country needs you to show up. 

President Trump needs you to show up.

Vote now.",6033
47,"Our First Lady has been nothing short of incredible, and we want to make sure she knows that President Trump’s supporters are her supporters too.

This is the First Lady’s ONLY Official Birthday Card, and when you sign your name, you can even leave a personal note for her to read. We know she'll love it.

Please add your name to the First Lady’s ONLY Official Birthday Card by 11:59 PM TONIGHT.",5954
48,"We are planning something BIG for the First Lady’s birthday on April 26th, and we need your help. 

Last year, when the First Lady sat down and read all of the encouraging personal messages, it ended up being the absolute highlight of her birthday. This year, we want her card to be even BIGGER, and we know she'd love to see a note from YOU. 

Please sign the First Lady’s ONLY Official Birthday Card TODAY before time runs out.",5892
